Italy,Switzerland
Italy,Turkey
Italy,Wales
Switzerland,Italy
Switzerland,Turkey
Switzerland,Wales
Turkey,Italy
Turkey,Wales
Turkey,Switzerland
Wales,Switzerland
Wales,Italy
Wales,Turkey
Belgium,Denmark
Belgium,Finland
Belgium,Russia
Denmark,Belgium
Denmark,Finland
Denmark,Russia
Finland,Denmark
Finland,Russia
Finland,Belgium
Russia,Finland
Russia,Belgium
Russia,Denmark
Austria,Netherlands
Austria,North Macedonia
Austria,Ukraine
Netherlands,Austria
Netherlands,North Macedonia
Netherlands,Ukraine
North Macedonia,Austria
North Macedonia,Netherlands
North Macedonia,Ukraine
Ukraine,Austria
Ukraine,Netherlands
Ukraine,North Macedonia
Croatia,Czech Republic
Croatia,England
Croatia,Scotland
Czech Republic,Croatia
Czech Republic,England
Czech Republic,Scotland
England,Croatia
England,Czech Republic
England,Scotland
Scotland,Croatia
Scotland,Czech Republic
Scotland,England
Poland,Slovakia
Poland,Spain
Poland,Sweden
Slovakia,Poland
Slovakia,Spain
Slovakia,Sweden
Spain,Poland
Spain,Slovakia
Spain,Sweden
Sweden,Sweden
Sweden,Slovakia
Sweden,Spain
France,Germany
France,Hungary
France,Portugal
Germany,France
Germany,Hungary
Germany,Portugal
Hungary,France
Hungary,Germany
Hungary,Portugal
Portugal,France
Portugal,Germany
Portugal,Hungary
